,STATION,ELEMENT,YEAR,TIMEFUNCTION,MDFUNCTION,VALUE,FLAG_REPEAT,FLAG_INTERRUPTED,Unnamed: 8
660,0-203-0-11514,TMA,1795,21:00,L(0),30.0,,,
664,0-203-0-11514,TMA,1795,21:00,MAX,31.1,,,
668,0-203-0-11514,TMA,1795,21:00,MIN,-16.9,,,
672,0-203-0-11514,TMA,1796,21:00,AVG,13.4,,,
676,0-203-0-11514,TMA,1796,21:00,GE(25),40.0,,,
680,0-203-0-11514,TMA,1796,21:00,GE(30),3.0,,,
684,0-203-0-11514,TMA,1796,21:00,GE(34),0.0,,,
688,0-203-0-11514,TMA,1796,21:00,GE(35),0.0,,,
692,0-203-0-11514,TMA,1796,21:00,L(0),15.0,,,
696,0-203-0-11514,TMA,1796,21:00,MAX,31.0,,,
700,0-203-0-11514,TMA,1796,21:00,MIN,-5.9,,,
704,0-203-0-11514,TMA,1797,21:00,AVG,14.4,,,
708,0-203-0-11514,TMA,1797,21:00,GE(25),52.0,,,
712,0-203-0-11514,TMA,1797,21:00,GE(30),7.0,,,
716,0-203-0-11514,TMA,1797,21:00,GE(34),0.0,,,
720,0-203-0-11514,TMA,1797,21:00,GE(35),0.0,,,
724,0-203-0-11514,TMA,1797,21:00,L(0),10.0,,,
728,0-203-0-11514,TMA,1797,21:00,MAX,31.9,,,
732,0-203-0-11514,TMA,1797,21:00,MIN,-2.3,,,
736,0-203-0-11514,TMA,1798,21:00,AVG,14.0,,,
740,0-203-0-11514,TMA,1798,21:00,GE(25),68.0,,,
744,0-203-0-11514,TMA,1798,21:00,GE(30),10.0,,,
748,0-203-0-11514,TMA,1798,21:00,GE(34),0.0,,,
752,0-203-0-11514,TMA,1798,21:00,GE(35),0.0,,,
756,0-203-0-11514,TMA,1798,21:00,L(0),27.0,,,
760,0-203-0-11514,TMA,1798,21:00,MAX,31.5,*,,
764,0-203-0-11514,TMA,1798,21:00,MIN,-15.3,,,
768,0-203-0-11514,TMA,1799,21:00,AVG,11.1,,,
772,0-203-0-11514,TMA,1799,21:00,GE(25),33.0,,,
776,0-203-0-11514,TMA,1799,21:00,GE(30),3.0,,,
780,0-203-0-11514,TMA,1799,21:00,GE(34),0.0,,,
784,0-203-0-11514,TMA,1799,21:00,GE(35),0.0,,,
788,0-203-0-11514,TMA,1799,21:00,L(0),60.0,,,
792,0-203-0-11514,TMA,1799,21:00,MAX,31.8,,,
796,0-203-0-11514,TMA,1799,21:00,MIN,-18.4,,,
800,0-203-0-11514,TMA,1800,21:00,AVG,13.0,,,
804,0-203-0-11514,TMA,1800,21:00,GE(25),34.0,,,
808,0-203-0-11514,TMA,1800,21:00,GE(30),6.0,,,
812,0-203-0-11514,TMA,1800,21:00,GE(34),0.0,,,
816,0-203-0-11514,TMA,1800,21:00,GE(35),0.0,,,
820,0-203-0-11514,TMA,1800,21:00,L(0),34.0,,,
824,0-203-0-11514,TMA,1800,21:00,MAX,32.3,,,
828,0-203-0-11514,TMA,1800,21:00,MIN,-6.6,,,
832,0-203-0-11514,TMA,1801,21:00,AVG,14.1,,,
836,0-203-0-11514,TMA,1801,21:00,GE(25),40.0,,,
840,0-203-0-11514,TMA,1801,21:00,GE(30),1.0,,,
844,0-203-0-11514,TMA,1801,21:00,GE(34),0.0,,,
848,0-203-0-11514,TMA,1801,21:00,GE(35),0.0,,,
852,0-203-0-11514,TMA,1801,21:00,L(0),13.0,,,
856,0-203-0-11514,TMA,1801,21:00,MAX,33.7,,,
860,0-203-0-11514,TMA,1801,21:00,MIN,-6.1,,,
864,0-203-0-11514,TMA,1802,21:00,AVG,13.7,,,
868,0-203-0-11514,TMA,1802,21:00,GE(25),47.0,,,
872,0-203-0-11514,TMA,1802,21:00,GE(30),11.0,,,
876,0-203-0-11514,TMA,1802,21:00,GE(34),3.0,,,
880,0-203-0-11514,TMA,1802,21:00,GE(35),0.0,,,
884,0-203-0-11514,TMA,1802,21:00,L(0),20.0,,,
888,0-203-0-11514,TMA,1802,21:00,MAX,34.7,,,
892,0-203-0-11514,TMA,1802,21:00,MIN,-12.3,,,
896,0-203-0-11514,TMA,1803,21:00,AVG,12.5,,,
900,0-203-0-11514,TMA,1803,21:00,GE(25),32.0,,,
904,0-203-0-11514,TMA,1803,21:00,GE(30),7.0,,,
908,0-203-0-11514,TMA,1803,21:00,GE(34),0.0,,,
912,0-203-0-11514,TMA,1803,21:00,GE(35),0.0,,,
916,0-203-0-11514,TMA,1803,21:00,L(0),44.0,,,
920,0-203-0-11514,TMA,1803,21:00,MAX,31.9,,,
