,STATION,ELEMENT,YEAR,TIMEFUNCTION,MDFUNCTION,VALUE,FLAG_REPEAT,FLAG_INTERRUPTED,Unnamed: 8
600,0-203-0-11514,TMI,1800,21:00,AVG,7.0,,,
604,0-203-0-11514,TMI,1800,21:00,GE(20),2.0,,,
608,0-203-0-11514,TMI,1800,21:00,L(0),83.0,,,
612,0-203-0-11514,TMI,1800,21:00,L(-12),3.0,,,
616,0-203-0-11514,TMI,1800,21:00,MAX,20.4,,,
620,0-203-0-11514,TMI,1800,21:00,MIN,-13.5,*,,
624,0-203-0-11514,TMI,1801,21:00,AVG,7.9,,,
628,0-203-0-11514,TMI,1801,21:00,GE(20),0.0,,,
632,0-203-0-11514,TMI,1801,21:00,L(0),53.0,,,
636,0-203-0-11514,TMI,1801,21:00,L(-12),1.0,,,
640,0-203-0-11514,TMI,1801,21:00,MAX,19.6,,,
644,0-203-0-11514,TMI,1801,21:00,MIN,-13.2,,,
648,0-203-0-11514,TMI,1802,21:00,AVG,6.8,,,
652,0-203-0-11514,TMI,1802,21:00,GE(20),6.0,,,
656,0-203-0-11514,TMI,1802,21:00,L(0),65.0,,,
660,0-203-0-11514,TMI,1802,21:00,L(-12),3.0,,,
664,0-203-0-11514,TMI,1802,21:00,MAX,22.4,,,
668,0-203-0-11514,TMI,1802,21:00,MIN,-17.5,,,
672,0-203-0-11514,TMI,1803,21:00,AVG,6.1,,,
676,0-203-0-11514,TMI,1803,21:00,GE(20),2.0,,,
680,0-203-0-11514,TMI,1803,21:00,L(0),86.0,,,
684,0-203-0-11514,TMI,1803,21:00,L(-12),10.0,,,
688,0-203-0-11514,TMI,1803,21:00,MAX,20.7,,,
692,0-203-0-11514,TMI,1803,21:00,MIN,-16.1,,,
696,0-203-0-11514,TMI,1804,21:00,AVG,6.5,,,
700,0-203-0-11514,TMI,1804,21:00,GE(20),8.0,,,
704,0-203-0-11514,TMI,1804,21:00,L(0),93.0,,,
708,0-203-0-11514,TMI,1804,21:00,L(-12),5.0,,,
712,0-203-0-11514,TMI,1804,21:00,MAX,22.2,,,
716,0-203-0-11514,TMI,1804,21:00,MIN,-18.4,,,
720,0-203-0-11514,TMI,1805,21:00,AVG,4.8,,,
724,0-203-0-11514,TMI,1805,21:00,GE(20),0.0,,,
728,0-203-0-11514,TMI,1805,21:00,L(0),113.0,,,
732,0-203-0-11514,TMI,1805,21:00,L(-12),11.0,,,
736,0-203-0-11514,TMI,1805,21:00,MAX,18.4,,,
740,0-203-0-11514,TMI,1805,21:00,MIN,-20.8,,,
744,0-203-0-11514,TMI,1806,21:00,AVG,7.8,,,
748,0-203-0-11514,TMI,1806,21:00,GE(20),1.0,,,
752,0-203-0-11514,TMI,1806,21:00,L(0),31.0,,,
756,0-203-0-11514,TMI,1806,21:00,L(-12),0.0,,,
760,0-203-0-11514,TMI,1806,21:00,MAX,20.0,,,
764,0-203-0-11514,TMI,1806,21:00,MIN,-7.1,,,
768,0-203-0-11514,TMI,1807,21:00,AVG,7.4,,,
772,0-203-0-11514,TMI,1807,21:00,GE(20),20.0,,,
776,0-203-0-11514,TMI,1807,21:00,L(0),75.0,,,
780,0-203-0-11514,TMI,1807,21:00,L(-12),0.0,,,
784,0-203-0-11514,TMI,1807,21:00,MAX,21.8,*,,
788,0-203-0-11514,TMI,1807,21:00,MIN,-6.8,,,
792,0-203-0-11514,TMI,1808,21:00,AVG,5.7,,,
796,0-203-0-11514,TMI,1808,21:00,GE(20),5.0,,,
800,0-203-0-11514,TMI,1808,21:00,L(0),117.0,,,
804,0-203-0-11514,TMI,1808,21:00,L(-12),12.0,,,
808,0-203-0-11514,TMI,1808,21:00,MAX,21.5,,,
812,0-203-0-11514,TMI,1808,21:00,MIN,-19.6,,,
816,0-203-0-11514,TMI,1809,21:00,AVG,6.6,,,
820,0-203-0-11514,TMI,1809,21:00,GE(20),4.0,,,
824,0-203-0-11514,TMI,1809,21:00,L(0),68.0,,,
828,0-203-0-11514,TMI,1809,21:00,L(-12),6.0,,,
832,0-203-0-11514,TMI,1809,21:00,MAX,21.1,,,
836,0-203-0-11514,TMI,1809,21:00,MIN,-19.4,,,
840,0-203-0-11514,TMI,1810,21:00,AVG,6.0,,,
844,0-203-0-11514,TMI,1810,21:00,GE(20),0.0,,,
848,0-203-0-11514,TMI,1810,21:00,L(0),79.0,,,
852,0-203-0-11514,TMI,1810,21:00,L(-12),3.0,,,
856,0-203-0-11514,TMI,1810,21:00,MAX,19.3,,,
860,0-203-0-11514,TMI,1810,21:00,MIN,-17.7,,,
864,0-203-0-11514,TMI,1811,21:00,AVG,7.7,,,
868,0-203-0-11514,TMI,1811,21:00,GE(20),16.0,,,
872,0-203-0-11514,TMI,1811,21:00,L(0),74.0,,,
876,0-203-0-11514,TMI,1811,21:00,L(-12),9.0,,,
880,0-203-0-11514,TMI,1811,21:00,MAX,21.7,*,,
884,0-203-0-11514,TMI,1811,21:00,MIN,-21.4,,,
888,0-203-0-11514,TMI,1812,21:00,AVG,5.2,,,
892,0-203-0-11514,TMI,1812,21:00,GE(20),0.0,,,
896,0-203-0-11514,TMI,1812,21:00,L(0),111.0,,,
900,0-203-0-11514,TMI,1812,21:00,L(-12),14.0,,,
904,0-203-0-11514,TMI,1812,21:00,MAX,19.3,,,
